,Unnamed: 0,ID,Date,Username,Tweet,ReplyCount,RetweetCount,LikeCount,QuoteCount,URL,sentiment_label,sentiment_score
1,1,1622746958363328512,2023-02-06 23:59:58+00:00,SerbestSabuncu,"#deprem 
Bu gece dualarımız enkaz altında kalanlar için. Allah yar ve yardımcıları olsun. https://t.co/8rFgvJcPsT",0,1,1,0,https://twitter.com/SerbestSabuncu/status/1622746958363328512,positive,0.8156
4,4,1622746954118619137,2023-02-06 23:59:57+00:00,aligsderya,Askerlerimiz kışladan çıksın  Yollar KAPALI  zaman yok #tsk 🇹🇷 #deprem https://t.co/RcIqBMgJmh,0,0,7,0,https://twitter.com/aligsderya/status/1622746954118619137,positive,0.8603
5,5,1622746952893976578,2023-02-06 23:59:57+00:00,hamzacak,"Gün suçlu arama; sağa veya sola çamur atma, iktidar veya muhalefet yerme vakti değil. Gün birlik vakti, önce hayatlarımızı kurtaralım, yaralarımızı saralım, açta açıkta kalanlara kol kanat gerelim. Sonra ister muhalefet isterseniz  yargıç olursunuz.
#deprem",0,0,0,0,https://twitter.com/hamzacak/status/1622746952893976578,positive,0.9234
6,6,1622746949722963969,2023-02-06 23:59:56+00:00,Haruun_,"Keşke, Keşkee, Keşkeee 🙏🙄
#deprem #TSKsahaya https://t.co/JPMccf06tl",0,0,0,0,https://twitter.com/Haruun_/status/1622746949722963969,positive,0.9021
7,7,1622746948225716225,2023-02-06 23:59:56+00:00,asivesahsi,SİTE 1 NO:20 HATAY MERKEZ MELİSA YARDIM BEKLİYOR #afaddeprem #yardım #deprem #afad,0,0,0,0,https://twitter.com/asivesahsi/status/1622746948225716225,positive,0.6985
8,8,1622746947814580224,2023-02-06 23:59:56+00:00,sakinoled,YAYALIM #deprem @AFADBaskanlik https://t.co/FC5Gv8cfnv,0,9,5,0,https://twitter.com/sakinoled/status/1622746947814580224,positive,0.9252
11,11,1622746944694099969,2023-02-06 23:59:55+00:00,alarahandan,"#deprem #hatayyardimbekliyor #hatayafad #hataydepremi #HatayinSesiniDuyun #hatayantakya LUTFEN GOREN HERKES RT
LESIN https://t.co/8m87bRIxA7",1,17,6,0,https://twitter.com/alarahandan/status/1622746944694099969,positive,0.9773
12,12,1622746942907248641,2023-02-06 23:59:55+00:00,fkrcbn,"Haber alamadık. Sabri Saraç: 05058032502
Gökçe Saraç: 05062650098
Hayat Antakya 
Esentepe mah. Mahmut alpagot bulvari Göçmen 2 apart. Antakya/ Hatay
Tarim kredi koop karsisi
#deprem #AFADhatay #Hatay #ohal #hatayyardimbekliyor #sondakikadeprem #sondakikadeprem #foxtv #hatayafad",0,6,3,0,https://twitter.com/fkrcbn/status/1622746942907248641,positive,0.8217
14,14,1622746940113920013,2023-02-06 23:59:54+00:00,Emine92560798,"Ahhh Hatay’ın yalnızlığı… Bu günah kimin boynuna?

#hatayyardimbekliyor #Hatay #deprem #Elbistan #iskenderun #hataydepremi",0,2,3,0,https://twitter.com/Emine92560798/status/1622746940113920013,positive,0.7225
16,16,1622746934506029059,2023-02-06 23:59:53+00:00,dogukanbulut0,Galeria'da yetkililer biraz uğraşıp bölgeyi terketmişler hala bulunamayan 10larca insan var o sitede ACİL EKİP LAZIM Galeria Sitesine #Diyarbakir #deprem #DEPREMOLDU #sondakikadeprem #seferberlik #hatayyardimbekliyor #Hatay #nurdagi #hataydepremi #HalukLevent,1,59,30,2,https://twitter.com/dogukanbulut0/status/1622746934506029059,positive,0.5879
18,18,1622746933285605376,2023-02-06 23:59:52+00:00,rezofile,Artçılar devam ediyor … lütfen önlem ve tedbirlerimizi alalım. Binalar agirş yapmayalım . Yüksek binaların yanımda yöresinde durmayalım . Patlayıcı olan yerleşen uzak duralım. Afad ekıplerının ıslerıne engel olmayacak sekılde yardımcı olalım. #AFAD #deprem #hatayyardimbekliyor,0,2,0,0,https://twitter.com/rezofile/status/1622746933285605376,positive,0.7731
21,21,1622746931423244289,2023-02-06 23:59:52+00:00,qtaebf,HABER ALABİLİRSENİZ LÜTFEN BİZİMLE PAYLAŞIN #sondakikadeprem #deprem #iskenderun #hatayafad #AFAD #hatayyardimbekliyor #HatayaYardım #hatayantakya @AFADBaskanlik @DepremDairesi @AFAD_gonullu @AFADHatay,0,2,2,0,https://twitter.com/qtaebf/status/1622746931423244289,positive,0.8405
22,22,1622746931024785408,2023-02-06 23:59:52+00:00,zehrakaratasz,ÖNEMLİ DUYURU @DepremDairesi @AFADBaskanlik @AKUT_Dernegi @AdiyamanBelTR @haluklevent #ADIYAMAN #deprem #hatayyardimbekliyor https://t.co/5Nd32lQW6t,0,13,6,1,https://twitter.com/zehrakaratasz/status/1622746931024785408,positive,0.8428
28,28,1622746920253792257,2023-02-06 23:59:49+00:00,AhmetAlpay63,"Ya Rabbî.
Bizlere kudretini hissettirdin.
Kararan gönüllerimize ürperti verdin.
Kudretine sığınıyoruz.
Bizleri arzî ve semâvî afetlerden,musîbetlerden muhafaza eyle.
Tevbe edip Allah'a yönelelim. #deprem",0,8,27,0,https://twitter.com/AhmetAlpay63/status/1622746920253792257,positive,0.6959
